nct_id,mesh_term,mesh_type
NCT00307450,Movement Disorders,mesh-ancestor
NCT00307450,Synucleinopathies,mesh-ancestor
NCT00307450,Neurodegenerative Diseases,mesh-ancestor
NCT00307450,Neurologic Manifestations,mesh-ancestor
NCT02751229,Mental Disorders,mesh-list
NCT02754167,Kidney Diseases,mesh-list
NCT02754167,"Renal Insufficiency, Chronic",mesh-list
NCT02754167,Urologic Diseases,mesh-ancestor
NCT02754167,Renal Insufficiency,mesh-ancestor
NCT02744638,"Vaginosis, Bacterial",mesh-list
NCT02744638,Vaginal Diseases,mesh-list
NCT02744638,Bacterial Infections,mesh-ancestor
NCT02744638,Bacterial Infections and Mycoses,mesh-ancestor
NCT02744638,Infections,mesh-ancestor
NCT02744638,Vaginitis,mesh-ancestor
NCT02727140,Hypertension,mesh-list
NCT02727140,Vascular Diseases,mesh-ancestor
NCT02727140,Cardiovascular Diseases,mesh-ancestor
NCT02721836,Irritable Bowel Syndrome,mesh-list
NCT02721836,Syndrome,mesh-list
NCT02721836,Disease,mesh-ancestor
NCT02721836,Pathologic Processes,mesh-ancestor
NCT02721836,"Colonic Diseases, Functional",mesh-ancestor
NCT02721836,Colonic Diseases,mesh-ancestor
NCT02721836,Intestinal Diseases,mesh-ancestor
NCT02721836,Gastrointestinal Diseases,mesh-ancestor
NCT02721836,Digestive System Diseases,mesh-ancestor
NCT02705456,Dental Caries,mesh-list
NCT02705456,Tooth Demineralization,mesh-ancestor
NCT02705456,Tooth Diseases,mesh-ancestor
NCT02705456,Stomatognathic Diseases,mesh-ancestor
NCT02697539,Periodontitis,mesh-list
NCT02697539,Chronic Periodontitis,mesh-list
NCT02697539,Periodontal Diseases,mesh-ancestor
NCT02697539,Mouth Diseases,mesh-ancestor
NCT02697539,Stomatognathic Diseases,mesh-ancestor
NCT02695940,Psoriasis,mesh-list
NCT02695940,"Skin Diseases, Papulosquamous",mesh-ancestor
NCT02695940,Skin Diseases,mesh-ancestor
NCT02685696,Infections,mesh-list
NCT02685696,Communicable Diseases,mesh-list
NCT02685696,Surgical Wound Infection,mesh-list
NCT02685696,Disease Attributes,mesh-ancestor
NCT02685696,Pathologic Processes,mesh-ancestor
NCT02685696,Wound Infection,mesh-ancestor
NCT02685696,Postoperative Complications,mesh-ancestor
NCT02689960,Adrenal Insufficiency,mesh-list
NCT02689960,Adrenal Gland Diseases,mesh-ancestor
NCT02689960,Endocrine System Diseases,mesh-ancestor
NCT02679833,Vitamin B 12 Deficiency,mesh-list
NCT02679833,Vitamin B Deficiency,mesh-ancestor
NCT02679833,Avitaminosis,mesh-ancestor
NCT02679833,Deficiency Diseases,mesh-ancestor
NCT02679833,Malnutrition,mesh-ancestor
NCT02679833,Nutrition Disorders,mesh-ancestor
NCT02677129,Gastrointestinal Neoplasms,mesh-list
NCT02677129,Digestive System Neoplasms,mesh-ancestor
NCT02677129,Neoplasms by Site,mesh-ancestor
NCT02677129,Neoplasms,mesh-ancestor
NCT02677129,Digestive System Diseases,mesh-ancestor
NCT02677129,Gastrointestinal Diseases,mesh-ancestor
NCT02664805,Eczema,mesh-list
NCT02664805,Dermatitis,mesh-ancestor
NCT02664805,Skin Diseases,mesh-ancestor
NCT02664805,"Skin Diseases, Eczematous",mesh-ancestor
NCT02670265,Pancreatic Neoplasms,mesh-list
NCT02670265,Biliary Tract Neoplasms,mesh-list
NCT02670265,Weight Loss,mesh-list
NCT02670265,Digestive System Neoplasms,mesh-ancestor
NCT02670265,Neoplasms by Site,mesh-ancestor
NCT02670265,Neoplasms,mesh-ancestor
NCT02670265,Endocrine Gland Neoplasms,mesh-ancestor
NCT02670265,Digestive System Diseases,mesh-ancestor
NCT02670265,Pancreatic Diseases,mesh-ancestor
NCT02670265,Endocrine System Diseases,mesh-ancestor
NCT02670265,Body Weight Changes,mesh-ancestor
NCT02670265,Body Weight,mesh-ancestor
NCT02670265,Biliary Tract Diseases,mesh-ancestor
NCT00324311,Burns,mesh-list
NCT00324311,Wounds and Injuries,mesh-ancestor
NCT02643602,Kidney Diseases,mesh-list
NCT02643602,Urologic Diseases,mesh-ancestor
NCT02647489,Malaria,mesh-list
NCT02647489,Protozoan Infections,mesh-ancestor
NCT02647489,Parasitic Diseases,mesh-ancestor
NCT02647489,Infections,mesh-ancestor
NCT02647489,Vector Borne Diseases,mesh-ancestor
NCT00326066,Glaucoma,mesh-list
NCT00326066,Cataract,mesh-list
NCT00326066,"Glaucoma, Open-Angle",mesh-list
NCT00326066,Ocular Hypertension,mesh-ancestor
NCT00326066,Eye Diseases,mesh-ancestor
NCT00326066,Lens Diseases,mesh-ancestor
NCT00326079,Glaucoma,mesh-list
NCT00326079,"Glaucoma, Open-Angle",mesh-list
NCT00326079,Ocular Hypertension,mesh-ancestor
NCT00326079,Eye Diseases,mesh-ancestor
NCT02640703,Premature Birth,mesh-list
NCT02640703,Bradycardia,mesh-list
NCT02640703,Hypoxia,mesh-list
NCT02640703,"Signs and Symptoms, Respiratory",mesh-ancestor
NCT02640703,"Obstetric Labor, Premature",mesh-ancestor
NCT02640703,Obstetric Labor Complications,mesh-ancestor
NCT02640703,Pregnancy Complications,mesh-ancestor
NCT02640703,"Arrhythmias, Cardiac",mesh-ancestor
NCT02640703,Heart Diseases,mesh-ancestor
NCT02640703,Cardiovascular Diseases,mesh-ancestor
NCT02640703,Pathologic Processes,mesh-ancestor
NCT02639520,Infections,mesh-list
NCT02639520,Urinary Tract Infections,mesh-list
NCT02639520,Urologic Diseases,mesh-ancestor
NCT00326989,Heart Failure,mesh-list
NCT00326989,Heart Diseases,mesh-ancestor
NCT00326989,Cardiovascular Diseases,mesh-ancestor
NCT02637544,Temporomandibular Joint Disorders,mesh-list
NCT02637544,Temporomandibular Joint Dysfunction Syndrome,mesh-list
NCT02637544,Craniomandibular Disorders,mesh-ancestor
NCT02637544,Mandibular Diseases,mesh-ancestor
NCT02637544,Jaw Diseases,mesh-ancestor
NCT02637544,Musculoskeletal Diseases,mesh-ancestor
NCT02637544,Joint Diseases,mesh-ancestor
NCT02637544,Muscular Diseases,mesh-ancestor
NCT02637544,Stomatognathic Diseases,mesh-ancestor
NCT02637544,Myofascial Pain Syndromes,mesh-ancestor
NCT02637778,Cardiovascular Diseases,mesh-list
NCT02620553,Diabetes Mellitus,mesh-list
NCT02620553,"Diabetes Mellitus, Type 1",mesh-list
NCT02620553,Glucose Metabolism Disorders,mesh-ancestor
NCT02620553,Metabolic Diseases,mesh-ancestor
NCT02620553,Endocrine System Diseases,mesh-ancestor
NCT02620553,Autoimmune Diseases,mesh-ancestor
NCT02620553,Immune System Diseases,mesh-ancestor
NCT00330369,Hypertension,mesh-list
NCT00330369,Vascular Diseases,mesh-ancestor
NCT00330369,Cardiovascular Diseases,mesh-ancestor
NCT02612220,Hemorrhage,mesh-list
NCT02612220,Pathologic Processes,mesh-ancestor
NCT00331890,Stroke,mesh-list
NCT00331890,Cerebral Infarction,mesh-list
NCT00331890,Infarction,mesh-list
NCT00331890,Cerebrovascular Disorders,mesh-ancestor
NCT00331890,Brain Diseases,mesh-ancestor
NCT00331890,Central Nervous System Diseases,mesh-ancestor
NCT00331890,Nervous System Diseases,mesh-ancestor
NCT00331890,Vascular Diseases,mesh-ancestor
NCT00331890,Cardiovascular Diseases,mesh-ancestor
NCT00331890,Ischemia,mesh-ancestor
NCT00331890,Pathologic Processes,mesh-ancestor
NCT00331890,Necrosis,mesh-ancestor
NCT00331890,Brain Infarction,mesh-ancestor
NCT00331890,Brain Ischemia,mesh-ancestor
NCT02601963,Rosacea,mesh-list
NCT02601963,Skin Diseases,mesh-ancestor
NCT02602275,"Fractures, Stress",mesh-list
NCT02602275,"Stress Disorders, Traumatic, Acute",mesh-list
NCT02602275,"Fractures, Bone",mesh-ancestor
NCT02602275,Wounds and Injuries,mesh-ancestor
NCT02602275,"Stress Disorders, Traumatic",mesh-ancestor
NCT02602275,Trauma and Stressor Related Disorders,mesh-ancestor
NCT02602275,Mental Disorders,mesh-ancestor
NCT00334594,Mesothelioma,mesh-list
NCT00334594,"Mesothelioma, Malignant",mesh-list
NCT00334594,Adenoma,mesh-ancestor
NCT00334594,"Neoplasms, Glandular and Epithelial",mesh-ancestor
NCT00334594,Neoplasms by Histologic Type,mesh-ancestor
NCT00334594,Neoplasms,mesh-ancestor
NCT00334594,"Neoplasms, Mesothelial",mesh-ancestor
NCT00334594,Lung Neoplasms,mesh-ancestor
NCT00334594,Respiratory Tract Neoplasms,mesh-ancestor
NCT00334594,Thoracic Neoplasms,mesh-ancestor
NCT00334594,Neoplasms by Site,mesh-ancestor
NCT00334594,Pleural Neoplasms,mesh-ancestor
NCT00334594,Lung Diseases,mesh-ancestor
NCT00334594,Respiratory Tract Diseases,mesh-ancestor
NCT02595229,Radius Fractures,mesh-list
NCT02595229,Forearm Injuries,mesh-ancestor
NCT02595229,Arm Injuries,mesh-ancestor
NCT02595229,Wounds and Injuries,mesh-ancestor
NCT02595229,"Fractures, Bone",mesh-ancestor
NCT02587533,Hypertension,mesh-list
NCT02587533,Vascular Diseases,mesh-ancestor
NCT02587533,Cardiovascular Diseases,mesh-ancestor
NCT00335543,Pancreatic Neoplasms,mesh-list
NCT00335543,Digestive System Neoplasms,mesh-ancestor
NCT00335543,Neoplasms by Site,mesh-ancestor
NCT00335543,Neoplasms,mesh-ancestor
NCT00335543,Endocrine Gland Neoplasms,mesh-ancestor
NCT00335543,Digestive System Diseases,mesh-ancestor
NCT00335543,Pancreatic Diseases,mesh-ancestor
NCT00335543,Endocrine System Diseases,mesh-ancestor
NCT02585882,Dental Caries,mesh-list
NCT02585882,Tooth Demineralization,mesh-ancestor
NCT02585882,Tooth Diseases,mesh-ancestor
NCT02585882,Stomatognathic Diseases,mesh-ancestor
NCT00338689,Obesity,mesh-list
NCT00338689,Pediatric Obesity,mesh-list
NCT00338689,Overnutrition,mesh-ancestor
NCT00338689,Nutrition Disorders,mesh-ancestor
NCT00338689,Overweight,mesh-ancestor
NCT00338689,Body Weight,mesh-ancestor
NCT02569619,Disease,mesh-list
NCT02569619,Mental Disorders,mesh-list
NCT02569619,Psychotic Disorders,mesh-list
NCT02569619,Pathologic Processes,mesh-ancestor
NCT02569619,Schizophrenia Spectrum and Other Psychotic Disorders,mesh-ancestor
NCT02559141,Postoperative Complications,mesh-list
NCT02559141,Pathologic Processes,mesh-ancestor
NCT02557113,"Fractures, Bone",mesh-list
NCT02557113,Wounds and Injuries,mesh-ancestor
NCT02554318,Tuberculosis,mesh-list
NCT02554318,"Tuberculosis, Pulmonary",mesh-list
NCT02554318,Body Weight,mesh-list
NCT02554318,Body Weight Changes,mesh-list
NCT02554318,Mycobacterium Infections,mesh-ancestor
NCT02554318,Actinomycetales Infections,mesh-ancestor
NCT02554318,Gram-Positive Bacterial Infections,mesh-ancestor
NCT02554318,Bacterial Infections,mesh-ancestor
NCT02554318,Bacterial Infections and Mycoses,mesh-ancestor
NCT02554318,Infections,mesh-ancestor
NCT02554318,Respiratory Tract Infections,mesh-ancestor
NCT02554318,Lung Diseases,mesh-ancestor
NCT02554318,Respiratory Tract Diseases,mesh-ancestor
NCT02551978,Obesity,mesh-list
NCT02551978,Overnutrition,mesh-ancestor
NCT02551978,Nutrition Disorders,mesh-ancestor
NCT02551978,Overweight,mesh-ancestor
NCT02551978,Body Weight,mesh-ancestor
NCT02547519,Diabetes Mellitus,mesh-list
NCT02547519,"Diabetes Mellitus, Type 1",mesh-list
NCT02547519,Glucose Metabolism Disorders,mesh-ancestor
NCT02547519,Metabolic Diseases,mesh-ancestor
NCT02547519,Endocrine System Diseases,mesh-ancestor
NCT02547519,Autoimmune Diseases,mesh-ancestor
NCT02547519,Immune System Diseases,mesh-ancestor
NCT02552589,Gingivitis,mesh-list
NCT02552589,Dental Plaque,mesh-list
NCT02552589,Inflammation,mesh-list
NCT02552589,Pathologic Processes,mesh-ancestor
NCT02552589,Infections,mesh-ancestor
NCT02552589,Gingival Diseases,mesh-ancestor
NCT02552589,Periodontal Diseases,mesh-ancestor
NCT02552589,Mouth Diseases,mesh-ancestor
NCT02552589,Stomatognathic Diseases,mesh-ancestor
NCT02552589,Dental Deposits,mesh-ancestor
NCT02552589,Tooth Diseases,mesh-ancestor
NCT00344253,Encephalomyelitis,mesh-list
NCT00344253,Multiple Sclerosis,mesh-list
NCT00344253,Macular Edema,mesh-list
NCT00344253,Uveitis,mesh-list
NCT00344253,"Uveitis, Intermediate",mesh-list
NCT00344253,Pars Planitis,mesh-list
NCT00344253,Sclerosis,mesh-list
NCT00344253,Pathologic Processes,mesh-ancestor
NCT00344253,"Demyelinating Autoimmune Diseases, CNS",mesh-ancestor
NCT00344253,Autoimmune Diseases of the Nervous System,mesh-ancestor
NCT00344253,Nervous System Diseases,mesh-ancestor
NCT00344253,Demyelinating Diseases,mesh-ancestor
NCT00344253,Autoimmune Diseases,mesh-ancestor
NCT00344253,Immune System Diseases,mesh-ancestor
NCT00344253,Macular Degeneration,mesh-ancestor
NCT00344253,Retinal Degeneration,mesh-ancestor
NCT00344253,Retinal Diseases,mesh-ancestor
NCT00344253,Eye Diseases,mesh-ancestor
NCT00344253,Uveal Diseases,mesh-ancestor
NCT00344253,Central Nervous System Infections,mesh-ancestor
NCT00344253,Infections,mesh-ancestor
NCT00344253,Central Nervous System Diseases,mesh-ancestor
NCT00344253,Choroiditis,mesh-ancestor
NCT00344253,Choroid Diseases,mesh-ancestor
NCT00344253,"Uveitis, Posterior",mesh-ancestor
NCT00344253,Panuveitis,mesh-ancestor
NCT02529358,Mental Disorders,mesh-list
NCT00349076,Rectal Neoplasms,mesh-list
NCT00349076,Colorectal Neoplasms,mesh-ancestor
NCT00349076,Intestinal Neoplasms,mesh-ancestor
NCT00349076,Gastrointestinal Neoplasms,mesh-ancestor
NCT00349076,Digestive System Neoplasms,mesh-ancestor
NCT00349076,Neoplasms by Site,mesh-ancestor
NCT00349076,Neoplasms,mesh-ancestor
NCT00349076,Digestive System Diseases,mesh-ancestor
NCT00349076,Gastrointestinal Diseases,mesh-ancestor
NCT00349076,Intestinal Diseases,mesh-ancestor
NCT00349076,Rectal Diseases,mesh-ancestor
NCT00349089,Lung Neoplasms,mesh-list
NCT00349089,"Carcinoma, Non-Small-Cell Lung",mesh-list
NCT00349089,Respiratory Tract Neoplasms,mesh-ancestor
NCT00349089,Thoracic Neoplasms,mesh-ancestor
NCT00349089,Neoplasms by Site,mesh-ancestor
NCT00349089,Neoplasms,mesh-ancestor
NCT00349089,Lung Diseases,mesh-ancestor
NCT00349089,Respiratory Tract Diseases,mesh-ancestor
NCT00349089,"Carcinoma, Bronchogenic",mesh-ancestor
NCT00349089,Bronchial Neoplasms,mesh-ancestor
NCT02508220,Tinnitus,mesh-list
NCT02508220,Hearing Disorders,mesh-ancestor
NCT02508220,Ear Diseases,mesh-ancestor
NCT02508220,Otorhinolaryngologic Diseases,mesh-ancestor
NCT02508220,Sensation Disorders,mesh-ancestor
NCT02508220,Neurologic Manifestations,mesh-ancestor
NCT02508220,Nervous System Diseases,mesh-ancestor
NCT02503293,Primary Immunodeficiency Diseases,mesh-list
NCT02503293,Immunologic Deficiency Syndromes,mesh-list
NCT02503293,Immune System Diseases,mesh-ancestor
NCT02503293,"Genetic Diseases, Inborn",mesh-ancestor
NCT02500394,Acute Kidney Injury,mesh-list
NCT02500394,Wounds and Injuries,mesh-list
NCT02500394,Renal Insufficiency,mesh-ancestor
NCT02500394,Kidney Diseases,mesh-ancestor
NCT02500394,Urologic Diseases,mesh-ancestor
NCT00354133,Parkinson Disease,mesh-list
NCT00354133,Parkinsonian Disorders,mesh-ancestor
NCT00354133,Basal Ganglia Diseases,mesh-ancestor
NCT00354133,Brain Diseases,mesh-ancestor
NCT00354133,Central Nervous System Diseases,mesh-ancestor
NCT00354133,Nervous System Diseases,mesh-ancestor
NCT00354133,Movement Disorders,mesh-ancestor
NCT00354133,Synucleinopathies,mesh-ancestor
NCT00354133,Neurodegenerative Diseases,mesh-ancestor
NCT00355095,Neuritis,mesh-list
NCT00355095,Optic Neuritis,mesh-list
NCT00355095,Peripheral Nervous System Diseases,mesh-ancestor
NCT00355095,Neuromuscular Diseases,mesh-ancestor
NCT00355095,Nervous System Diseases,mesh-ancestor
NCT00355095,Optic Nerve Diseases,mesh-ancestor
NCT00355095,Cranial Nerve Diseases,mesh-ancestor
NCT00355095,Eye Diseases,mesh-ancestor
NCT02480608,"Leukemia, Myeloid",mesh-list
NCT02480608,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",mesh-list
NCT02480608,Leukemia,mesh-ancestor
NCT02480608,Neoplasms by Histologic Type,mesh-ancestor
NCT02480608,Neoplasms,mesh-ancestor
NCT02480608,Myeloproliferative Disorders,mesh-ancestor
NCT02480608,Bone Marrow Diseases,mesh-ancestor
NCT02480608,Hematologic Diseases,mesh-ancestor
NCT00355862,Carcinoma,mesh-list
NCT00355862,"Carcinoma, Hepatocellular",mesh-list
NCT00355862,"Neoplasms, Glandular and Epithelial",mesh-ancestor
NCT00355862,Neoplasms by Histologic Type,mesh-ancestor
NCT00355862,Neoplasms,mesh-ancestor
NCT00355862,Adenocarcinoma,mesh-ancestor
NCT00355862,Liver Neoplasms,mesh-ancestor
NCT00355862,Digestive System Neoplasms,mesh-ancestor
NCT00355862,Neoplasms by Site,mesh-ancestor
NCT00355862,Digestive System Diseases,mesh-ancestor
NCT00355862,Liver Diseases,mesh-ancestor
NCT02475603,Ischemia,mesh-list
NCT02475603,Pathologic Processes,mesh-ancestor
NCT02471963,Diabetes Mellitus,mesh-list
NCT02471963,"Diabetes Mellitus, Type 2",mesh-list
NCT02471963,Glucose Metabolism Disorders,mesh-ancestor
NCT02471963,Metabolic Diseases,mesh-ancestor
NCT02471963,Endocrine System Diseases,mesh-ancestor
NCT02468999,Insulin Resistance,mesh-list
NCT02468999,Hyperinsulinism,mesh-ancestor
NCT02468999,Glucose Metabolism Disorders,mesh-ancestor
NCT02468999,Metabolic Diseases,mesh-ancestor
NCT00359918,Myocardial Infarction,mesh-list
NCT00359918,Infarction,mesh-list
NCT00359918,Ischemia,mesh-ancestor
NCT00359918,Pathologic Processes,mesh-ancestor
NCT00359918,Necrosis,mesh-ancestor
NCT00359918,Myocardial Ischemia,mesh-ancestor
NCT00359918,Heart Diseases,mesh-ancestor
NCT00359918,Cardiovascular Diseases,mesh-ancestor
NCT00359918,Vascular Diseases,mesh-ancestor
NCT02437357,Depression,mesh-list
NCT02437357,Depressive Disorder,mesh-list
NCT02437357,Behavioral Symptoms,mesh-ancestor
NCT02437357,Mood Disorders,mesh-ancestor
NCT02437357,Mental Disorders,mesh-ancestor
NCT02424552,Asthma,mesh-list
NCT02424552,Bronchial Diseases,mesh-ancestor
NCT02424552,Respiratory Tract Diseases,mesh-ancestor
NCT02424552,"Lung Diseases, Obstructive",mesh-ancestor
NCT02424552,Lung Diseases,mesh-ancestor
NCT02424552,Respiratory Hypersensitivity,mesh-ancestor
NCT02424552,"Hypersensitivity, Immediate",mesh-ancestor
NCT02424552,Hypersensitivity,mesh-ancestor
NCT02424552,Immune System Diseases,mesh-ancestor
NCT00366158,"Arrhythmias, Cardiac",mesh-list
NCT00366158,Heart Diseases,mesh-ancestor
NCT00366158,Cardiovascular Diseases,mesh-ancestor
NCT00366158,Pathologic Processes,mesh-ancestor
NCT02420145,Obesity,mesh-list
NCT02420145,"Obesity, Abdominal",mesh-list
NCT02420145,Overnutrition,mesh-ancestor
NCT02420145,Nutrition Disorders,mesh-ancestor
NCT02420145,Overweight,mesh-ancestor
NCT02420145,Body Weight,mesh-ancestor
NCT00368953,Arteriosclerosis,mesh-list
NCT00368953,Coronary Artery Disease,mesh-list
NCT00368953,Myocardial Ischemia,mesh-list
NCT00368953,Diabetes Mellitus,mesh-list
NCT00368953,Glucose Metabolism Disorders,mesh-ancestor
NCT00368953,Metabolic Diseases,mesh-ancestor
NCT00368953,Endocrine System Diseases,mesh-ancestor
NCT00368953,Arterial Occlusive Diseases,mesh-ancestor
NCT00368953,Vascular Diseases,mesh-ancestor
NCT00368953,Cardiovascular Diseases,mesh-ancestor
NCT00368953,Coronary Disease,mesh-ancestor
NCT00368953,Heart Diseases,mesh-ancestor
NCT00369018,Uterine Cervical Dysplasia,mesh-list
NCT00369018,Cervical Intraepithelial Neoplasia,mesh-list
NCT00369018,Precancerous Conditions,mesh-ancestor
NCT00369018,Neoplasms,mesh-ancestor
NCT00369018,Uterine Cervical Diseases,mesh-ancestor
NCT00369018,Uterine Diseases,mesh-ancestor
NCT00369018,Carcinoma in Situ,mesh-ancestor
NCT00369018,Carcinoma,mesh-ancestor
NCT00369018,"Neoplasms, Glandular and Epithelial",mesh-ancestor
NCT00369018,Neoplasms by Histologic Type,mesh-ancestor
NCT02410096,Asthma,mesh-list
NCT02410096,"Asthma, Exercise-Induced",mesh-list
NCT02410096,Inflammation,mesh-list
NCT02410096,Bronchial Diseases,mesh-ancestor
NCT02410096,Respiratory Tract Diseases,mesh-ancestor
NCT02410096,"Lung Diseases, Obstructive",mesh-ancestor
NCT02410096,Lung Diseases,mesh-ancestor
NCT02410096,Respiratory Hypersensitivity,mesh-ancestor
NCT02410096,"Hypersensitivity, Immediate",mesh-ancestor
NCT02410096,Hypersensitivity,mesh-ancestor
NCT02410096,Immune System Diseases,mesh-ancestor
NCT02410096,Pathologic Processes,mesh-ancestor
NCT02406014,"Keratosis, Actinic",mesh-list
NCT02406014,Keratosis,mesh-list
NCT02406014,Skin Diseases,mesh-ancestor
NCT02406014,Precancerous Conditions,mesh-ancestor
NCT02406014,Neoplasms,mesh-ancestor
NCT00372216,Myocardial Infarction,mesh-list
NCT00372216,Infarction,mesh-list
NCT00372216,Ischemia,mesh-ancestor
NCT00372216,Pathologic Processes,mesh-ancestor
NCT00372216,Necrosis,mesh-ancestor
NCT00372216,Myocardial Ischemia,mesh-ancestor
NCT00372216,Heart Diseases,mesh-ancestor
NCT00372216,Cardiovascular Diseases,mesh-ancestor
NCT00372216,Vascular Diseases,mesh-ancestor
NCT02395159,Infections,mesh-list
NCT02395159,Communicable Diseases,mesh-list
NCT02395159,Wound Infection,mesh-list
NCT02395159,Disease Attributes,mesh-ancestor
NCT02395159,Pathologic Processes,mesh-ancestor
NCT00373373,"Leukemia, Myeloid",mesh-list
NCT00373373,"Leukemia, Myeloid, Acute",mesh-list
NCT00373373,Leukemia,mesh-ancestor
NCT00373373,Neoplasms by Histologic Type,mesh-ancestor
NCT00373373,Neoplasms,mesh-ancestor
NCT00373451,Myocardial Infarction,mesh-list
NCT00373451,Coronary Disease,mesh-list
NCT00373451,Infarction,mesh-list
NCT00373451,Ischemia,mesh-ancestor
NCT00373451,Pathologic Processes,mesh-ancestor
NCT00373451,Necrosis,mesh-ancestor
NCT00373451,Myocardial Ischemia,mesh-ancestor
NCT00373451,Heart Diseases,mesh-ancestor
NCT00373451,Cardiovascular Diseases,mesh-ancestor
NCT00373451,Vascular Diseases,mesh-ancestor
NCT02383238,Diabetes Mellitus,mesh-list
NCT02383238,"Diabetes Mellitus, Type 2",mesh-list
NCT02383238,Glucose Metabolism Disorders,mesh-ancestor
NCT02383238,Metabolic Diseases,mesh-ancestor
NCT02383238,Endocrine System Diseases,mesh-ancestor
NCT02372318,Alcoholism,mesh-list
NCT02372318,Alcohol-Related Disorders,mesh-ancestor
NCT02372318,Substance-Related Disorders,mesh-ancestor
NCT02372318,Chemically-Induced Disorders,mesh-ancestor
NCT02372318,Mental Disorders,mesh-ancestor
NCT02365350,Infertility,mesh-list
NCT02365350,Flushing,mesh-list
NCT02365350,Skin Manifestations,mesh-ancestor
NCT02364219,Hypothermia,mesh-list
NCT02364219,Body Temperature Changes,mesh-ancestor
NCT02358720,Neoplasm Metastasis,mesh-list
NCT02358720,Neoplastic Processes,mesh-ancestor
NCT02358720,Neoplasms,mesh-ancestor
NCT02358720,Pathologic Processes,mesh-ancestor
NCT02360033,Anxiety Disorders,mesh-list
NCT02360033,"Phobia, Social",mesh-list
NCT02360033,Mental Disorders,mesh-ancestor
NCT02360033,Phobic Disorders,mesh-ancestor
NCT00379470,Glioblastoma,mesh-list
NCT00379470,Astrocytoma,mesh-ancestor
NCT00379470,Glioma,mesh-ancestor
NCT00379470,"Neoplasms, Neuroepithelial",mesh-ancestor
NCT00379470,Neuroectodermal Tumors,mesh-ancestor
NCT00379470,"Neoplasms, Germ Cell and Embryonal",mesh-ancestor
NCT00379470,Neoplasms by Histologic Type,mesh-ancestor
NCT00379470,Neoplasms,mesh-ancestor
NCT00379470,"Neoplasms, Glandular and Epithelial",mesh-ancestor
NCT00379470,"Neoplasms, Nerve Tissue",mesh-ancestor
NCT02356016,Obesity,mesh-list
NCT02356016,Overnutrition,mesh-ancestor
NCT02356016,Nutrition Disorders,mesh-ancestor
NCT02356016,Overweight,mesh-ancestor
NCT02356016,Body Weight,mesh-ancestor
NCT02349880,Schizophrenia,mesh-list
NCT02349880,Mood Disorders,mesh-list
NCT02349880,Psychotic Disorders,mesh-list
NCT02349880,Schizophrenia Spectrum and Other Psychotic Disorders,mesh-ancestor
NCT02349880,Mental Disorders,mesh-ancestor
NCT02342509,Delayed Emergence from Anesthesia,mesh-list
NCT02342509,Postoperative Complications,mesh-ancestor
NCT02342509,Pathologic Processes,mesh-ancestor
NCT02344030,Hypoxia,mesh-list
NCT02344030,"Signs and Symptoms, Respiratory",mesh-ancestor
NCT02343029,Dementia,mesh-list
NCT02343029,Cognitive Dysfunction,mesh-list
NCT02343029,Brain Diseases,mesh-ancestor
NCT02343029,Central Nervous System Diseases,mesh-ancestor
NCT02343029,Nervous System Diseases,mesh-ancestor
NCT02343029,Neurocognitive Disorders,mesh-ancestor
NCT02343029,Mental Disorders,mesh-ancestor
NCT02343029,Cognition Disorders,mesh-ancestor
NCT02341898,Dementia,mesh-list
NCT02341898,Brain Diseases,mesh-ancestor
NCT02341898,Central Nervous System Diseases,mesh-ancestor
NCT02341898,Nervous System Diseases,mesh-ancestor
NCT02341898,Neurocognitive Disorders,mesh-ancestor
NCT02341898,Mental Disorders,mesh-ancestor
NCT02329067,Metabolic Diseases,mesh-list
NCT02329067,Lipid Metabolism Disorders,mesh-list
NCT02330471,Uterine Cervical Dysplasia,mesh-list
NCT02330471,Cervical Intraepithelial Neoplasia,mesh-list
NCT02330471,Hyperplasia,mesh-list
NCT02330471,Pathologic Processes,mesh-ancestor
NCT02330471,Precancerous Conditions,mesh-ancestor
NCT02330471,Neoplasms,mesh-ancestor
NCT02330471,Uterine Cervical Diseases,mesh-ancestor
NCT02330471,Uterine Diseases,mesh-ancestor
NCT02330471,Carcinoma in Situ,mesh-ancestor
NCT02330471,Carcinoma,mesh-ancestor
NCT02330471,"Neoplasms, Glandular and Epithelial",mesh-ancestor
NCT02330471,Neoplasms by Histologic Type,mesh-ancestor
NCT00385697,Diabetes Mellitus,mesh-list
NCT00385697,"Diabetes Mellitus, Type 1",mesh-list
NCT00385697,Glucose Metabolism Disorders,mesh-ancestor
NCT00385697,Metabolic Diseases,mesh-ancestor
NCT00385697,Endocrine System Diseases,mesh-ancestor
NCT00385697,Autoimmune Diseases,mesh-ancestor
NCT00385697,Immune System Diseases,mesh-ancestor
NCT00389181,Hemangioma,mesh-list
NCT00389181,Intracranial Arteriovenous Malformations,mesh-list
NCT00389181,Arteriovenous Malformations,mesh-list
NCT00389181,Congenital Abnormalities,mesh-list
NCT00389181,Vascular Malformations,mesh-ancestor
NCT00389181,Cardiovascular Abnormalities,mesh-ancestor
NCT00389181,Cardiovascular Diseases,mesh-ancestor
NCT00389181,Vascular Diseases,mesh-ancestor
NCT00389181,"Neoplasms, Vascular Tissue",mesh-ancestor
NCT00389181,Neoplasms by Histologic Type,mesh-ancestor
