drksId,indication.type0,indication.key0,indication.value0,indication.type1,indication.key1,indication.value1,indication.type2,indication.key2,indication.value2,indication.type3,indication.key3,indication.value3,indication.type4,indication.key4,indication.value4
DRKS00003681,ICD10,G43.3,Complicated migraine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003934,Other,NA,"DSM-IV diagnosis: 295.10, schizophrenia, disorganized type",Other,NA,"DSM-IV diagnosis:295.20, schizophrenia, catatonic type",Other,NA,"DSM-IV diagnosis: 295.30, schizophrenia, paranoid type",Other,NA,"DSM-IV diagnosis:  295.90, schizophrenia, undifferentiated type",ICD10,F20.1,Hebephrenic schizophrenia
DRKS00003980,ICD10,I10.0,[generalization I10: Essential (primary) hypertension],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004036,Free text,NA,Prostate Cancer,ICD10,C61,Malignant neoplasm of prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004085,Free text,NA,Impotence,ICD10,N48.4,Impotence of organic origin,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004087,Free text,NA,Nocturia,Free text,NA,Benign Prostatic Hypertrophy (BPH),ICD10,N40,Hyperplasia of prostate,ICD10,R35,Polyuria,NA,NA,NA
DRKS00004091,Free text,NA,"Prostatic Hypertrophy, Benign",ICD10,N40,Hyperplasia of prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004153,Free text,NA,Prostate Cancer,ICD10,C61,Malignant neoplasm of prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004220,ICD10,K02,Dental caries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004227,ICD10,D12.8,Benign neoplasm: Rectum,ICD10,K58.0,Irritable bowel syndrome with diarrhoea,Free text,NA,Consumption of sedative drugs during colonoscopy,NA,NA,NA,NA,NA,NA
DRKS00004245,ICD10,K08.2,Atrophy of edentulous alveolar ridge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004412,Free text,NA,pleuraempyema,ICD10,J86,Pyothorax,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004595,ICD10,C15.9,"Malignant neoplasm: Oesophagus, unspecified",ICD10,C33,Malignant neoplasm of trachea,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004658,ICD10,D45,Polycythaemia vera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004968,ICD10,C50,Malignant neoplasm of breast,ICD10,C61,Malignant neoplasm of prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004977,ICD10,M54,Dorsalgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004984,ICD10,F51.0,Nonorganic insomnia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005034,Free text,NA,oncology patients with cancer-related pain and associated symptoms,ICD10,R52.9,"Pain, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005200,ICD10,F20.0,Paranoid schizophrenia,ICD10,F20.1,Hebephrenic schizophrenia,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005229,ICD10,M54,Dorsalgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005233,ICD10,M54,Dorsalgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005353,ICD10,I63.3,Cerebral infarction due to thrombosis of cerebral arteries,ICD10,I61.1,"Intracerebral haemorrhage in hemisphere, cortical",ICD10,I63.4,Cerebral infarction due to embolism of cerebral arteries,NA,NA,NA,NA,NA,NA
DRKS00005442,Free text,NA,healthy volunteers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005481,ICD10,E66,Obesity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005482,ICD10,F80.1,Expressive language disorder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000450,ICD10,J96.1,Chronic respiratory failure,ICD10,J44,Other chronic obstructive pulmonary disease,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000449,ICD10,J96.1,Chronic respiratory failure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00000697,Free text,NA,mediastinitis after median sternotomy,ICD10,J98.50,"[generalization J98.5: Diseases of mediastinum, not elsewhere classified]",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003456,Free text,NA,"Carcinoma, Squamous Cell of Head and Neck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004151,Free text,NA,Erectile Dysfunction,ICD10,N48.4,Impotence of organic origin,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003839,Free text,NA,Leukemia,ICD10,C92.0,Acute myeloid leukaemia,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004033,Free text,NA,Erectile Dysfunction,ICD10,N48.4,Impotence of organic origin,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004070,Free text,NA,Prostatic Neoplasms,ICD10,C61,Malignant neoplasm of prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004156,Free text,NA,Prostate Cancer,ICD10,C61,Malignant neoplasm of prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004035,Free text,NA,Erectile Dysfunction,ICD10,N48.4,Impotence of organic origin,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004079,Free text,NA,Prostate Cancer,ICD10,C61,Malignant neoplasm of prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004089,Free text,NA,Overactive Bladder,ICD10,N32.8,Other specified disorders of bladder,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004027,Free text,NA,Overactive Bladder,ICD10,N32.8,Other specified disorders of bladder,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004028,Free text,NA,Prostate Cancer Metastatic,ICD10,C61,Malignant neoplasm of prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004068,Free text,NA,Lower Urinary Tract Symptoms,Free text,NA,Benign Prostatic Hyperplasia,ICD10,N40,Hyperplasia of prostate,NA,NA,NA,NA,NA,NA
DRKS00004069,Free text,NA,Benign Prostatic Hyperplasia,Free text,NA,Enlarged Prostate,ICD10,N40,Hyperplasia of prostate,NA,NA,NA,NA,NA,NA
DRKS00004428,Free text,NA,Femur Neck Fracture,ICD10,S72.0,Fracture of neck of femur,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004031,Free text,NA,"Urinary Bladder, Overactive",ICD10,N32.8,Other specified disorders of bladder,ICD10,N48.4,Impotence of organic origin,NA,NA,NA,NA,NA,NA
DRKS00003985,Free text,NA,"Carcinoma, Renal Cell",Free text,NA,"Adenocarcinoma, Renal Cell",Free text,NA,"Nephroid Carcinoma,",Free text,NA,Hypernephroid,ICD10,C64,"Malignant neoplasm of kidney, except renal pelvis"
DRKS00000559,ICD10,C81,Hodgkin's disease,ICD10,C82,Follicular [nodular] non-Hodgkin's lymphoma,ICD10,C83,Diffuse non-Hodgkin's lymphoma,ICD10,C84,Peripheral and cutaneous T-cell lymphomas,ICD10,C85,Other and unspecified types of non-Hodgkin's lymphoma
DRKS00003360,ICD10,M16,Coxarthrosis [arthrosis of hip],ICD10,M17,Gonarthrosis [arthrosis of knee],ICD10,M50,Cervical disc disorders,ICD10,M51,Other intervertebral disc disorders,ICD10,M53,"Other dorsopathies, not elsewhere classified"
DRKS00003368,ICD10,T82.7,"Infection and inflammatory reaction due to other cardiac and vascular devices, implants and grafts",ICD10,A41,Other septicaemia,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003534,ICD10,K43.9,Ventral hernia without obstruction or gangrene,Free text,NA,"high-output stoma (> 2000 ml/day), ileus, stenosis, obstruction, prolapse, necrosis, retraction, fistulization, skin complications",ICD10,Z93,Artificial opening status,NA,NA,NA,NA,NA,NA
DRKS00003560,Free text,NA,"Neurologically healthy subjects above the age of 60 years, having no record of regular dancing and sporting activities for at least five years before study onset.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003658,ICD10,C34,Malignant neoplasm of bronchus and lung,ICD10,C78.0,Secondary malignant neoplasm of lung,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003825,ICD10,I61,Intracerebral haemorrhage,ICD10,I63,Cerebral infarction,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003957,ICD10,F00.1,Dementia in Alzheimer's disease with late onset,ICD10,F00.2,"Dementia in Alzheimer's disease, atypical or mixed type",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003989,Free text,NA,Prostate Cancer,Free text,NA,Breast Cancer,Free text,NA,Bone Metastasis,ICD10,C61,Malignant neoplasm of prostate,ICD10,C50,Malignant neoplasm of breast
DRKS00003991,Free text,NA,Erectile Dysfunction,ICD10,N48.4,Impotence of organic origin,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004042,Free text,NA,Overactive Bladder Syndrome,ICD10,N32.8,Other specified disorders of bladder,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004050,Free text,NA,Benign Prostatic Hyperplasia,ICD10,N40,Hyperplasia of prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004062,Free text,NA,Benign Prostatic Hyperplasia,ICD10,N40,Hyperplasia of prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004108,Free text,NA,"Infertility, Male",ICD10,N46,Male infertility,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004131,Free text,NA,Erectile Dysfunction,Free text,NA,Metabolic Syndrome,ICD10,N48.4,Impotence of organic origin,ICD10,E88.9,"Metabolic disorder, unspecified",NA,NA,NA
DRKS00004136,Free text,NA,Urinary Incontinence,ICD10,R32,Unspecified urinary incontinence,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004139,Free text,NA,Prostate Cancer,ICD10,C61,Malignant neoplasm of prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004146,Free text,NA,Infertility,ICD10,N97,Female infertility,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004247,Free text,NA,Onel-lung ventilation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004327,ICD10,I20-I25,Ischaemic heart diseases,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004381,ICD10,M40-M54,Dorsopathies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004609,ICD10,J44,Other chronic obstructive pulmonary disease,ICD10,J43,Emphysema,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004844,ICD10,C00-C75,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic and related tissue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005362,ICD10,I25,Chronic ischaemic heart disease,Free text,NA,stress ,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003669,Free text,NA,Hormonal Refractory Prostate Cancer,ICD10,C61,Malignant neoplasm of prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003684,Free text,NA,Glioblastoma,Free text,NA,Anaplastic Astrocytoma,ICD10,C71,Malignant neoplasm of brain,NA,NA,NA,NA,NA,NA
DRKS00004044,Free text,NA,Diagnostic Imaging,ICD10,C61,Malignant neoplasm of prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004130,Free text,NA,Prostate Cancer,ICD10,C61,Malignant neoplasm of prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003665,Free text,NA,Prostate Cancer,ICD10,C61,Malignant neoplasm of prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003993,Free text,NA,In Vitro Fertilization,ICD10,Z31.2, fertilization,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004052,Free text,NA,Bladder Cancer,Free text,NA,Transitional Cell Bladder Cancer,Free text,NA,Urethra Cancer,Free text,NA,Ureter Cancer,Free text,NA,Renal Pelvis Cancer
DRKS00004132,Free text,NA,Infertility,ICD10,N97,Female infertility,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004145,Free text,NA,Overactive Bladder,ICD10,N32.8,Other specified disorders of bladder,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004293,Free text,NA,Urologic Neoplasms,Free text,NA,Metastatic Bladder Cancer,Free text,NA,Urinary Tract Neoplasms,ICD10,C67,Malignant neoplasm of bladder,NA,NA,NA
DRKS00003994,Free text,NA,Benign Prostatic Hyperplasia (BPH),ICD10,N40,Hyperplasia of prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004137,Free text,NA,Overactive Bladder Syndrome (OABS),ICD10,N32.8,Other specified disorders of bladder,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004152,Free text,NA,Overactive Bladder,ICD10,N32.8,Other specified disorders of bladder,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003621,Free text,NA,Melanoma,ICD10,C43,Malignant melanoma of skin,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003664,Free text,NA,Renal Cell Cancer,ICD10,C64,"Malignant neoplasm of kidney, except renal pelvis",ICD10,C65,Malignant neoplasm of renal pelvis,NA,NA,NA,NA,NA,NA
DRKS00004041,Free text,NA,Lower Urinary Tract Symptoms,Free text,NA,Benign Prostatic Hyperplasia,ICD10,N40,Hyperplasia of prostate,NA,NA,NA,NA,NA,NA
DRKS00004059,Free text,NA,"Urinary Bladder, Overactive",ICD10,N32.8,Other specified disorders of bladder,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004129,Free text,NA,Overactive Bladder,Free text,NA,Detrusor Overactivity,ICD10,N32.8,Other specified disorders of bladder,NA,NA,NA,NA,NA,NA
DRKS00004141,Free text,NA,Benign Prostatic Hypertrophy,ICD10,N40,Hyperplasia of prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005167,Free text,NA,Prostate Cancer,Free text,NA,Castration Resistant Prostate Cancer,Free text,NA,Pain,Free text,NA,Prostatic Neoplasms,ICD10,C61,Malignant neoplasm of prostate
DRKS00004046,Free text,NA,Lower Urinary Tract Symptoms,Free text,NA,Prostatic Hyperplasia,ICD10,N40,Hyperplasia of prostate,NA,NA,NA,NA,NA,NA
DRKS00004107,Free text,NA,Hormone Refractory Prostate Cancer,Free text,NA,Bone Metastases,ICD10,C61,Malignant neoplasm of prostate,ICD10,C79.5,Secondary malignant neoplasm of bone and bone marrow,NA,NA,NA
DRKS00004149,Free text,NA,Renal Cell Carcinoma,ICD10,C64,"Malignant neoplasm of kidney, except renal pelvis",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004135,Free text,NA,Renal Cell Carcinoma,ICD10,C64,"Malignant neoplasm of kidney, except renal pelvis",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00002426,Free text,NA,Multiple Myeloma,ICD10,C90.0,Multiple myeloma,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003433,ICD10,R06.8,Other and unspecified abnormalities of breathing,ICD10,P07.2,Extreme immaturity,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003767,ICD10,J45,Asthma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003958,Free text,NA,Enhancement of influenza vaccination effect,ICD10,J10,Influenza due to other identified influenza virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004003,Free text,NA,Fecal Incontinence,ICD10,R15,Faecal incontinence,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004094,Free text,NA,Solid Tumors,ICD10,C00-C75,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic and related tissue",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004430,ICD10,J00,Acute nasopharyngitis [common cold],ICD10,K52.9,"Noninfective gastroenteritis and colitis, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004513,ICD10,M17.1,Other primary gonarthrosis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004541,ICD10,O60.0,Preterm labour without delivery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004542,ICD10,T81.4,"Infection following a procedure, not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004559,ICD10,F20.0,Paranoid schizophrenia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004566,ICD10,N81.1,Cystocele,ICD10,N81.2,Incomplete uterovaginal prolapse,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004570,ICD10,K05.1,Chronic gingivitis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004572,ICD10,F80.1,Expressive language disorder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004937,ICD10,I48.10,[generalization I48: Atrial fibrillation and flutter],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005293,Free text,NA,Multimorbidity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005333,ICD10,N17,Acute renal failure,Other,NA,"OPS-2013: 5-35, 5-361 (bypass surgery, cardiac valve and septum surgery)",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005350,Free text,NA,Healthy volunteers will be included.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005419,Free text,NA,Patienten mit Polyneuropathie,ICD10,C00-C97,Malignant neoplasms,ICD10,G60-G64,Polyneuropathies and other disorders of the peripheral nervous system,NA,NA,NA,NA,NA,NA
DRKS00005587,Free text,NA,"motor incomplete, traumatic, chronic (> 1 year after trauma) spinal cord injured individuals",ICD10,G82,Paraplegia and tetraplegia,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005588,ICD10,F10.0,Mental and behavioural disorders due to use of alcohol; Acute intoxication,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005103,ICD10,I63.9,"Cerebral infarction, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003741,Free text,NA,Lymphoma,ICD10,C85.1,"B-cell lymphoma, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005403,Free text,NA,Prostate Cancer,ICD10,C61,Malignant neoplasm of prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003999,Free text,NA,Impotence,ICD10,N48.4,Impotence of organic origin,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004082,Free text,NA,"Urinary Incontinence, Stress",ICD10,R32,Unspecified urinary incontinence,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004102,Free text,NA,Erectile Dysfunction,ICD10,N48.4,Impotence of organic origin,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003754,Free text,NA,Head and Neck Cancer,Free text,NA,Squamous Cell Cancer,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003925,Free text,NA,Chemotherapy-Induced Nausea and Vomiting,ICD10,R11,Nausea and vomiting,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004014,Free text,NA,Prostate Cancer,ICD10,C61,Malignant neoplasm of prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004084,Free text,NA,Prostate Cancer,ICD10,C61,Malignant neoplasm of prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004105,Free text,NA,Erectile Dysfunction,ICD10,N48.4,Impotence of organic origin,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005401,Free text,NA,Prostatic Neoplasms,ICD10,C61,Malignant neoplasm of prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004013,Free text,NA,Metastatic Breast Cancer [F],Free text,NA,Advanced Breast Cancer,Free text,NA,Metastatic Castration Resistant Prostate Cancer,Free text,NA,Metastatic Renal Cell Cancer,Free text,NA,Non-Small Cell Lung Cancer
DRKS00004083,Free text,NA,Overactive Bladder,ICD10,N32.8,Other specified disorders of bladder,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004101,Free text,NA,"Urinary Bladder, Overactive",Free text,NA,Urinary Bladder Diseases,Free text,NA,Urologic Diseases,Free text,NA,Urological Manifestations,Free text,NA,Signs and Symptoms
DRKS00004249,ICD10,E66.9,"Obesity, unspecified",ICD10,R63.2,Polyphagia,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004262,Free text,NA,healthy subjects,ICD10,S93.4,Sprain and strain of ankle,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004335,Free text,NA,metabolic changes provoked by nutritional challenges,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004448,ICD10,G63.1,Polyneuropathy in neoplastic disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004484,Free text,NA,Myelodysplastic Syndromes,Free text,NA,Transfusion Dependent Iron Overload,ICD10,D46,Myelodysplastic syndromes,NA,NA,NA,NA,NA,NA
DRKS00005334,ICD10,R19.6,Halitosis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005421,ICD10,E55.9,"Vitamin D deficiency, unspecified",ICD10,E55,Vitamin D deficiency,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005448,ICD10,N40,Hyperplasia of prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005473,ICD10,C61,Malignant neoplasm of prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004053,Free text,NA,Cancer,Free text,NA,Renal Cell Carcinoma,ICD10,C64,"Malignant neoplasm of kidney, except renal pelvis",NA,NA,NA,NA,NA,NA
DRKS00004118,Free text,NA,Erectile Dysfunction,ICD10,N48.4,Impotence of organic origin,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003646,Free text,NA,Fallopian Tube Cancer,Free text,NA,Ovarian Cancer,Free text,NA,Primary Peritoneal Cavity Cancer,ICD10,C56,Malignant neoplasm of ovary,NA,NA,NA
DRKS00003836,Free text,NA,Advanced Colorectal Carcinoma,ICD10,C18,Malignant neoplasm of colon,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004054,Free text,NA,Overactive Bladder,ICD10,N32.8,Other specified disorders of bladder,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003349,Free text,NA,adipositas,ICD10,E66.0,Obesity due to excess calories,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004092,Free text,NA,Prostate Cancer,ICD10,C61,Malignant neoplasm of prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004098,Free text,NA,Erectile Dysfunction,ICD10,N48.4,Impotence of organic origin,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004275,ICD10,K07.6,Temporomandibular joint disorders,ICD10,F45.8,Other somatoform disorders,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004400,Free text,NA,Healthy volunteers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004427,ICD10,C34,Malignant neoplasm of bronchus and lung,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005050,ICD10,F50,Eating disorders,Free text,NA,subclinical and partial eating disorders,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005115,Free text,NA,toxicological hair analysis healthy participants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004096,Free text,NA,Carcinoma,Free text,NA,Renal Cell,Free text,NA,Non Clear Cell Renal Carcinoma,Free text,NA,Papillary Cell Renal Carcinoma,Free text,NA,Adenocarcinoma
DRKS00004097,Free text,NA,Fecal Incontinence and Constipation,ICD10,R15,Faecal incontinence,ICD10,K59.0,Constipation,NA,NA,NA,NA,NA,NA
DRKS00004123,Free text,NA,Prostate Cancer,ICD10,C61,Malignant neoplasm of prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003322,Free text,NA,type 2 diabetes,Free text,NA,chronic low back pain,ICD10,E11,Non-insulin-dependent diabetes mellitus,ICD10,M54.5,Low back pain,ICD10,F45.4,Persistent somatoform pain disorder
DRKS00003662,Free text,NA,Solid Tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003663,Free text,NA,Colorectal Neoplasms,ICD10,C20,Malignant neoplasm of rectum,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003801,ICD10,O26.0,Excessive weight gain in pregnancy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00003979,Free text,NA,Mental disorders due to child abuse and neglect (CAN),ICD10,F00-F99,Mental and behavioural disorders,ICD10,T74,Maltreatment syndromes,ICD10,X85-Y09,Assault,ICD10,Z59,Problems related to housing and economic circumstances
DRKS00004018,Free text,NA,Overactive Bladder Syndrome,ICD10,N32.8,Other specified disorders of bladder,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004021,Free text,NA,Prostate Cancer,ICD10,C61,Malignant neoplasm of prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004184,Free text,NA,C61,ICD10,C61,Malignant neoplasm of prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004330,ICD10,G81.0,Flaccid hemiplegia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004994,ICD10,D51.3,Other dietary vitamin B deficiency anaemia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005028,ICD10,C00-C97,Malignant neoplasms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004558,ICD10,N20.0,Calculus of kidney,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004022,Free text,NA,Overactive Bladder,Free text,NA,Urinary Incontinence,ICD10,N32.8,Other specified disorders of bladder,ICD10,R32,Unspecified urinary incontinence,NA,NA,NA
DRKS00004016,Free text,NA,Prostate Cancer,ICD10,C61,Malignant neoplasm of prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004004,Free text,NA,"Urinary Bladder, Overactive",ICD10,N32.8,Other specified disorders of bladder,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004023,Free text,NA,"Urinary Bladder, Overactive",ICD10,N32.8,Other specified disorders of bladder,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004138,Free text,NA,Non-clear Cell Renal Cell Cancer,ICD10,C64,"Malignant neoplasm of kidney, except renal pelvis",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00005025,ICD10,F32,Depressive episode,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004061,Free text,NA,Advanced Solid Tumours,ICD10,C64,"Malignant neoplasm of kidney, except renal pelvis",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004029,Free text,NA,"Carcinoma, Renal Cell Metastasis",ICD10,C64,"Malignant neoplasm of kidney, except renal pelvis",NA,NA,NA,NA,NA,NA,NA,NA,NA
DRKS00004057,Free text,NA,"Carcinoma, Renal Cell",ICD10,C64,"Malignant neoplasm of kidney, except renal pelvis",NA,NA,NA,NA,NA,NA,NA,NA,NA
